txn_id,user_id,amount,timestamp,device_id,location,merchant_id,is_fraud
t879,u58,1496.98,2026-08-01 17:01:00,device_58_A,North Kimberlyside,m13,0
t13,u5,1332.11,2026-08-01 17:16:00,device_5_A,Derricktown,m4,0
t490,u57,1006.45,2026-08-01 17:18:00,device_57_A,East Dale,m3,0
t738,u75,3880.65,2026-08-01 17:22:00,device_75_A,Waltermouth,m13,0
t546,u46,3963.43,2026-08-01 18:24:00,device_46_A,New Adrian,m14,0
t612,u58,1021.54,2026-08-01 18:31:00,device_58_A,North Kimberlyside,m20,0
t484,u100,902.57,2026-08-01 18:41:00,device_new_2422,Douglastown,m13,0
t167,u42,2950.39,2026-08-01 18:46:00,device_42_A,New Ryanshire,m8,0
t899,u43,654.67,2026-08-01 19:17:00,device_43_A,South William,m18,0
t548,u61,2005.23,2026-08-01 19:29:00,device_61_A,Port Steven,m15,0
t146,u91,762.16,2026-08-01 19:32:00,device_91_A,New Lindsayborough,m15,0
t250,u46,3542.8,2026-08-01 20:08:00,device_new_1280,New Adrian,m6,0
t2,u61,1700.77,2026-08-01 20:16:00,device_61_A,Port Steven,m8,0
t312,u75,4867.03,2026-08-01 20:31:00,device_75_A,Waltermouth,m14,0
t588,u14,1100.2,2026-08-01 20:34:00,device_14_A,North Monica,m18,0
t586,u96,2994.83,2026-08-01 20:42:00,device_96_A,South Davidstad,m6,0
t869,u49,2742.44,2026-08-01 21:12:00,device_49_A,Elainefurt,m2,0
t862,u45,2155.82,2026-08-01 21:37:00,device_45_A,Christianberg,m1,0
t772,u38,821.25,2026-08-01 21:42:00,device_38_A,South Jeremyland,m3,0
t556,u18,2572.76,2026-08-01 22:25:00,device_18_A,Davidview,m20,0
t170,u95,4662.66,2026-08-01 22:55:00,device_95_A,Sandrabury,m9,0
t139,u45,11824.2,2026-08-02 00:31:00,device_unknown_7626,Christianberg,m13,1
t1000,u74,3976.25,2026-08-02 01:48:00,device_74_A,New Jonathanport,m18,0
t255,u33,4715.78,2026-08-02 02:36:00,device_unknown_9897,Port John,m1,1
t810,u29,11698.76,2026-08-02 02:46:00,device_unknown_4714,North Jacquelinefort,m11,1
t580,u48,2880.9,2026-08-02 03:35:00,device_48_A,Port Brittany,m18,0
t948,u50,5267.78,2026-08-02 03:48:00,device_unknown_6605,Morganmouth,m4,1
t123,u42,2689.42,2026-08-02 08:42:00,device_42_A,New Ryanshire,m17,0
t152,u14,1289.23,2026-08-02 09:16:00,device_14_A,North Monica,m14,0
t145,u82,3243.21,2026-08-02 09:17:00,device_82_A,Mosleystad,m10,0
t679,u34,9935.22,2026-08-02 09:22:00,device_new_3174,North Kyle,m1,0
t554,u90,3293.1,2026-08-02 09:30:00,device_90_A,Johnsonfort,m4,0
t582,u8,4185.59,2026-08-02 10:01:00,device_8_A,Williamside,m5,0
t415,u59,686.25,2026-08-02 10:03:00,device_59_A,New Jimmystad,m16,0
t36,u72,10655.79,2026-08-02 10:05:00,device_unknown_3442,Mitchellberg,m14,1
t577,u49,3297.58,2026-08-02 10:47:00,device_49_A,Elainefurt,m6,0
t509,u95,4338.1,2026-08-02 11:02:00,device_95_A,Sandrabury,m5,0
t315,u7,5718.03,2026-08-02 11:05:00,device_unknown_1901,Robertsstad,m4,1
t996,u36,3106.45,2026-08-02 11:21:00,device_new_1175,Willieland,m16,0
t550,u1,2248.57,2026-08-02 11:55:00,device_1_A,Kennedystad,m16,0
t6,u62,2087.99,2026-08-02 12:34:00,device_62_A,Calderonfort,m12,0
t576,u79,1719.87,2026-08-02 12:55:00,device_79_A,Johnhaven,m14,0
t313,u43,709.96,2026-08-02 13:00:00,device_43_A,South William,m5,0
t919,u8,4175.3,2026-08-02 13:02:00,device_8_A,Williamside,m18,0
t604,u20,1379.37,2026-08-02 13:11:00,device_20_A,Robertsland,m11,0
t537,u91,1315.11,2026-08-02 13:33:00,device_91_A,New Lindsayborough,m7,0
t90,u21,2643.5,2026-08-02 13:36:00,device_21_A,West Daniel,m9,0
t799,u50,1629.26,2026-08-02 13:51:00,device_50_A,Lake Sarah,m16,0
t995,u81,5560.95,2026-08-02 14:28:00,device_81_A,West Marcus,m3,0
t861,u13,3296.84,2026-08-02 15:31:00,device_13_A,East Antonio,m7,0
t226,u29,3077.41,2026-08-02 16:23:00,device_29_A,Johnville,m1,0
t191,u90,6634.67,2026-08-02 16:43:00,device_unknown_8609,Armstrongland,m11,1
t745,u3,3945.19,2026-08-02 16:44:00,device_3_A,Hannahmouth,m17,0
t396,u64,2514.48,2026-08-02 17:39:00,device_64_A,Thomasview,m14,0
t50,u52,3881.42,2026-08-02 19:46:00,device_52_A,Albertburgh,m8,0
t414,u37,2152.98,2026-08-02 19:53:00,device_37_A,Johnshire,m13,0
t808,u21,3579.43,2026-08-02 20:04:00,device_21_A,West Daniel,m16,0
t236,u53,6067.47,2026-08-02 20:36:00,device_53_A,Cynthiamouth,m14,0
t327,u93,5035.99,2026-08-02 20:42:00,device_93_A,East Josephmouth,m12,0
t489,u68,3820.57,2026-08-02 20:53:00,device_68_A,New Susanshire,m12,0
t890,u59,549.17,2026-08-02 21:17:00,device_59_A,New Jimmystad,m17,0
t608,u38,706.21,2026-08-02 21:22:00,device_38_A,Sarahhaven,m20,0
t646,u44,7049.65,2026-08-02 21:24:00,device_new_5230,Griffithhaven,m3,0
t668,u80,6820.96,2026-08-03 00:32:00,device_unknown_8772,Alyssamouth,m2,1
t722,u85,2263.64,2026-08-03 01:07:00,device_85_A,Lake Debbieville,m18,0
t942,u73,570.32,2026-08-03 01:24:00,device_73_A,Margaretchester,m14,0
t904,u38,730.46,2026-08-03 01:28:00,device_38_A,Sarahhaven,m5,0
t813,u82,8545.66,2026-08-03 02:34:00,device_unknown_4365,Mosleystad,m15,1
t322,u53,4733.54,2026-08-03 03:12:00,device_53_A,Cynthiamouth,m3,0
t913,u98,14808.15,2026-08-03 04:37:00,device_unknown_8606,Reevesfurt,m8,1
t89,u95,14068.81,2026-08-03 06:05:00,device_unknown_7622,Sandrabury,m18,1
t493,u68,5146.05,2026-08-03 08:28:00,device_68_A,New Susanshire,m16,0
t467,u45,1737.9,2026-08-03 08:50:00,device_45_A,Christianberg,m6,0
t356,u33,590.2,2026-08-03 09:11:00,device_33_A,South Timothy,m11,0
t725,u92,3753.51,2026-08-03 09:14:00,device_92_A,Simpsonville,m11,0
t307,u57,946.49,2026-08-03 09:15:00,device_new_6152,East Dale,m8,0
t666,u90,2825.29,2026-08-03 10:04:00,device_90_A,Johnsonfort,m17,0
t401,u94,3320.73,2026-08-03 10:08:00,device_94_A,Brownberg,m17,0
t724,u1,1766.94,2026-08-03 10:36:00,device_1_A,Kennedystad,m11,0
t4,u28,2575.95,2026-08-03 10:49:00,device_28_A,North Matthew,m13,0
t601,u3,5757.68,2026-08-03 11:17:00,device_3_A,Hannahmouth,m7,0
t757,u79,1880.43,2026-08-03 11:41:00,device_79_A,Port Joanbury,m12,0
t115,u44,3599.47,2026-08-03 11:43:00,device_44_A,Mooremouth,m13,0
t402,u49,2574.26,2026-08-03 13:17:00,device_49_A,Elainefurt,m12,0
t442,u5,962.19,2026-08-03 13:24:00,device_5_A,Derricktown,m14,0
t685,u92,4041.32,2026-08-03 14:01:00,device_92_A,Simpsonville,m11,0
t569,u87,6454.12,2026-08-03 14:18:00,device_87_A,Lake Joyport,m8,0
t633,u59,705.88,2026-08-03 15:15:00,device_59_A,New Jimmystad,m1,0
t893,u73,404.74,2026-08-03 15:44:00,device_73_A,Margaretchester,m10,0
t909,u76,3539.07,2026-08-03 16:10:00,device_76_A,Lake Adamborough,m3,0
t590,u46,3630.42,2026-08-03 16:41:00,device_46_A,New Adrian,m14,0
t360,u57,642.62,2026-08-03 16:58:00,device_57_A,East Dale,m13,0
t519,u11,669.15,2026-08-03 17:17:00,device_11_A,Lake Ashley,m14,0
t329,u20,1524.58,2026-08-03 17:23:00,device_20_A,Robertsland,m11,0
t141,u94,2559.75,2026-08-03 17:48:00,device_94_A,Brownberg,m8,0
t406,u10,4463.21,2026-08-03 17:52:00,device_10_A,Salazarville,m12,0
t182,u13,5481.91,2026-08-03 18:16:00,device_13_A,East Antonio,m15,0
t251,u2,4848.12,2026-08-03 19:36:00,device_2_A,Michaelport,m3,0
t472,u86,1484.1,2026-08-03 20:10:00,device_new_9835,South Mary,m17,0
t843,u16,1358.54,2026-08-03 20:14:00,device_16_A,East Danielle,m6,0
t499,u53,6087.28,2026-08-03 20:37:00,device_53_A,Cynthiamouth,m13,0
t174,u73,392.61,2026-08-03 21:01:00,device_73_A,Margaretchester,m12,0
t716,u25,3040.58,2026-08-03 21:39:00,device_25_A,Port Scottberg,m20,0
t98,u45,1666.8,2026-08-03 21:56:00,device_45_A,Christianberg,m1,0
t497,u27,1252.05,2026-08-03 22:01:00,device_27_A,New Annefort,m20,0
t756,u75,2963.43,2026-08-03 22:20:00,device_75_A,Waltermouth,m18,0
t664,u17,2100.94,2026-08-03 22:40:00,device_17_A,Mosleytown,m5,0
t674,u91,2307.03,2026-08-04 02:32:00,device_unknown_7852,South Karenshire,m20,1
t397,u100,892.52,2026-08-04 03:04:00,device_100_A,Gwendolynburgh,m1,0
t773,u20,12971.33,2026-08-04 03:44:00,device_20_A,West Emma,m14,1
t695,u51,4492.31,2026-08-04 03:47:00,device_51_A,Melissamouth,m16,0
t188,u49,2376.21,2026-08-04 07:12:00,device_new_6531,Elainefurt,m3,0
t319,u22,962.02,2026-08-04 07:54:00,device_22_A,Aguilarton,m2,0
t673,u33,772.63,2026-08-04 08:29:00,device_33_A,South Timothy,m19,0
t271,u1,2360.27,2026-08-04 09:00:00,device_1_A,Kennedystad,m15,0
t860,u87,3900.78,2026-08-04 09:06:00,device_87_A,Lake Joyport,m19,0
t225,u95,3559.99,2026-08-04 09:51:00,device_95_A,Sandrabury,m17,0
t999,u63,4672.19,2026-08-04 11:02:00,device_63_A,West Danaville,m17,0
t689,u53,4717.34,2026-08-04 11:48:00,device_53_A,Cynthiamouth,m16,0
t435,u5,1262.65,2026-08-04 11:53:00,device_5_A,Derricktown,m11,0
t235,u49,3822.85,2026-08-04 12:14:00,device_49_A,Elainefurt,m14,0
t14,u28,2735.92,2026-08-04 12:22:00,device_28_A,North Matthew,m17,0
t279,u98,2178.13,2026-08-04 12:27:00,device_98_A,Melaniemouth,m14,0
t931,u23,2291.84,2026-08-04 13:17:00,device_23_A,Port Jamesville,m8,0
t971,u17,1955.62,2026-08-04 13:23:00,device_17_A,Mosleytown,m1,0
t316,u4,19354.59,2026-08-04 14:56:00,device_unknown_6680,West Jamesland,m6,1
t510,u67,813.35,2026-08-04 15:10:00,device_67_A,Kelleytown,m18,0
t557,u39,3997.95,2026-08-04 15:11:00,device_39_A,Lindseymouth,m6,0
t292,u3,4058.37,2026-08-04 15:38:00,device_3_A,Hannahmouth,m20,0
t110,u81,3596.95,2026-08-04 15:55:00,device_81_A,West Marcus,m6,0
t692,u28,3486.52,2026-08-04 16:03:00,device_28_A,North Matthew,m2,0
t776,u61,2880.66,2026-08-04 17:13:00,device_61_A,Port Steven,m15,0
t737,u6,1206.8,2026-08-04 18:21:00,device_6_A,Smithshire,m10,0
t128,u61,2501.15,2026-08-04 18:21:00,device_61_A,Port Steven,m5,0
t142,u5,896.54,2026-08-04 18:49:00,device_5_A,Derricktown,m5,0
t649,u40,4134.06,2026-08-04 19:17:00,device_40_A,Joneschester,m19,0
t765,u98,2059.76,2026-08-04 20:11:00,device_98_A,Melaniemouth,m11,0
t26,u74,3866.8,2026-08-04 20:54:00,device_74_A,New Jonathanport,m18,0
t854,u51,9700.38,2026-08-04 22:01:00,device_new_3843,Melissamouth,m13,0
t213,u54,3182.78,2026-08-04 22:04:00,device_new_7666,West Sharonmouth,m16,0
t162,u61,1626.02,2026-08-04 22:08:00,device_61_A,Port Steven,m15,0
t455,u97,3159.63,2026-08-04 22:20:00,device_97_A,Williamville,m18,0
t736,u66,2611.07,2026-08-04 22:26:00,device_66_A,Donaldfort,m16,0
t607,u58,1026.42,2026-08-04 22:32:00,device_58_A,North Kimberlyside,m2,0
t460,u95,3205.2,2026-08-04 22:57:00,device_95_A,North Betty,m12,0
t143,u64,1797.12,2026-08-04 22:58:00,device_64_A,Thomasview,m15,0
t443,u83,2034.1,2026-08-05 01:16:00,device_new_8130,Patriciachester,m1,0
t103,u35,8197.69,2026-08-05 01:20:00,device_35_A,Colemanhaven,m8,0
t491,u83,1961.06,2026-08-05 01:28:00,device_83_A,Patriciachester,m16,0
t857,u23,1754.31,2026-08-05 02:23:00,device_23_A,Port Jamesville,m7,0
t767,u48,2658.8,2026-08-05 07:20:00,device_48_A,Port Brittany,m18,0
t353,u41,3275.53,2026-08-05 07:30:00,device_unknown_5205,Baileytown,m13,1
t598,u97,2984.76,2026-08-05 07:44:00,device_new_6793,Williamville,m11,0
t34,u80,1154.77,2026-08-05 08:01:00,device_80_A,South Cynthia,m3,0
t970,u33,888.38,2026-08-05 08:32:00,device_33_A,South Timothy,m10,0
t558,u74,27643.17,2026-08-05 08:36:00,device_unknown_1869,Aliciaville,m13,1
t523,u39,3520.69,2026-08-05 08:50:00,device_39_A,Noahborough,m18,0
t83,u32,1210.43,2026-08-05 09:02:00,device_32_A,Amandaberg,m2,0
t306,u95,4274.39,2026-08-05 09:21:00,device_95_A,Sandrabury,m4,0
t788,u70,12644.56,2026-08-05 10:43:00,device_70_A,Davidberg,m4,1
t545,u72,1590.19,2026-08-05 10:44:00,device_72_A,South Chelsey,m20,0
t216,u100,1243.68,2026-08-05 10:45:00,device_new_1613,Gwendolynburgh,m11,0
t452,u18,3248.7,2026-08-05 10:48:00,device_18_A,Davidview,m10,0
t285,u68,4077.02,2026-08-05 11:26:00,device_new_3838,New Susanshire,m6,0
t119,u12,5278.19,2026-08-05 11:50:00,device_12_A,Mercadoside,m19,0
t347,u93,4909.39,2026-08-05 11:55:00,device_93_A,East Josephmouth,m4,0
t809,u38,971.56,2026-08-05 12:22:00,device_38_A,Sarahhaven,m17,0
t392,u4,5152.12,2026-08-05 12:34:00,device_4_A,Port Cynthia,m16,0
t889,u22,1095.3,2026-08-05 12:51:00,device_22_A,Aguilarton,m12,0
t647,u16,1413.03,2026-08-05 13:35:00,device_16_A,East Danielle,m20,0
t241,u23,2317.76,2026-08-05 13:46:00,device_new_8846,Brianaport,m13,0
t44,u34,4068.0,2026-08-05 13:48:00,device_34_A,New Christian,m12,0
t63,u47,2289.97,2026-08-05 13:52:00,device_47_A,Tranport,m15,0
t483,u22,1364.93,2026-08-05 14:09:00,device_22_A,Aguilarton,m20,0
t929,u45,1703.77,2026-08-05 14:24:00,device_45_A,Christianberg,m20,0
t211,u73,431.03,2026-08-05 14:51:00,device_new_5450,Margaretchester,m8,0
t498,u11,592.19,2026-08-05 15:26:00,device_11_A,Lake Ashley,m15,0
t468,u20,1828.61,2026-08-05 16:19:00,device_new_1305,Robertsland,m3,0
t76,u75,3244.16,2026-08-05 16:59:00,device_75_A,Waltermouth,m5,0
t670,u7,1125.88,2026-08-05 17:03:00,device_7_A,Timothyberg,m14,0
t764,u40,2674.42,2026-08-05 17:20:00,device_40_A,Joneschester,m19,0
t48,u85,1912.15,2026-08-05 17:42:00,device_new_3780,Lake Debbieville,m3,0
t336,u83,2469.39,2026-08-05 17:59:00,device_83_A,North Laura,m4,0
t485,u73,530.44,2026-08-05 18:23:00,device_73_A,Margaretchester,m12,0
t983,u28,2209.03,2026-08-05 18:42:00,device_28_A,North Matthew,m9,0
t806,u25,2686.55,2026-08-05 19:59:00,device_new_8675,Port Scottberg,m14,0
t137,u67,1316.09,2026-08-05 20:21:00,device_67_A,Kelleytown,m6,0
t718,u45,2569.14,2026-08-05 20:36:00,device_45_A,Christianberg,m2,0
t802,u46,3052.79,2026-08-05 20:57:00,device_46_A,New Adrian,m14,0
t877,u94,3280.92,2026-08-05 21:25:00,device_94_A,Brownberg,m20,0
t880,u30,1277.5,2026-08-05 21:37:00,device_30_A,Lake Matthew,m7,0
t729,u45,6160.53,2026-08-05 21:43:00,device_unknown_7623,West Debra,m9,1
t394,u83,12430.08,2026-08-05 22:54:00,device_83_A,Patriciachester,m7,1
t974,u42,11126.53,2026-08-06 00:32:00,device_unknown_3826,New Ryanshire,m15,1
t310,u99,614.24,2026-08-06 02:39:00,device_99_A,Robertburgh,m5,0
t959,u76,4156.92,2026-08-06 03:41:00,device_76_A,Lake Adamborough,m3,0
t780,u88,8635.13,2026-08-06 07:07:00,device_unknown_2900,Davidberg,m15,1
t220,u42,1920.99,2026-08-06 07:28:00,device_42_A,New Ryanshire,m9,0
t399,u3,4411.44,2026-08-06 07:41:00,device_3_A,Hannahmouth,m2,0
t464,u34,4816.84,2026-08-06 07:43:00,device_34_A,North Kyle,m17,0
t325,u59,556.02,2026-08-06 07:52:00,device_59_A,New Jimmystad,m11,0
t584,u44,3811.88,2026-08-06 07:54:00,device_44_A,Mooremouth,m8,0
t507,u76,4148.05,2026-08-06 10:08:00,device_76_A,Lake Adamborough,m4,0
t868,u46,4407.84,2026-08-06 10:17:00,device_46_A,New Adrian,m3,0
t882,u58,2331.16,2026-08-06 10:19:00,device_new_1343,North Kimberlyside,m11,0
t524,u6,1188.44,2026-08-06 10:20:00,device_6_A,Port Jasonstad,m8,0
t555,u81,5564.86,2026-08-06 10:44:00,device_81_A,West Marcus,m10,0
t362,u4,3078.48,2026-08-06 10:47:00,device_4_A,Port Cynthia,m3,0
t55,u91,895.97,2026-08-06 11:03:00,device_91_A,New Lindsayborough,m7,0
t543,u61,1864.22,2026-08-06 11:10:00,device_61_A,Derrickfurt,m4,0
t284,u61,1986.42,2026-08-06 11:17:00,device_61_A,Port Steven,m19,0
t847,u40,5845.74,2026-08-06 11:39:00,device_40_A,Joneschester,m10,0
t108,u28,2994.82,2026-08-06 11:40:00,device_28_A,North Matthew,m4,0
t330,u46,2592.95,2026-08-06 12:34:00,device_46_A,New Adrian,m15,0
t104,u8,4291.11,2026-08-06 12:42:00,device_8_A,Williamside,m3,0
t640,u21,3554.62,2026-08-06 13:27:00,device_21_A,West Daniel,m17,0
t755,u88,3570.79,2026-08-06 14:01:00,device_88_A,Davidberg,m14,0
t334,u24,1626.16,2026-08-06 14:27:00,device_24_A,Lake Richardton,m5,0
t845,u11,548.37,2026-08-06 14:51:00,device_11_A,Lake Ashley,m16,0
t112,u62,2092.97,2026-08-06 15:12:00,device_new_6992,Calderonfort,m18,0
t388,u49,2703.17,2026-08-06 15:22:00,device_49_A,Elainefurt,m19,0
t386,u37,2079.89,2026-08-06 16:26:00,device_37_A,Michaelton,m6,0
t707,u59,848.32,2026-08-06 16:37:00,device_new_8742,New Jimmystad,m14,0
t825,u16,1426.3,2026-08-06 16:51:00,device_16_A,East Danielle,m19,0
t611,u39,2813.97,2026-08-06 17:13:00,device_39_A,Noahborough,m11,0
t20,u74,8761.85,2026-08-06 17:40:00,device_74_A,New Jonathanport,m3,0
t127,u44,4354.48,2026-08-06 17:47:00,device_44_A,Mooremouth,m9,0
t841,u3,4544.47,2026-08-06 17:57:00,device_3_A,Hannahmouth,m13,0
t377,u33,732.07,2026-08-06 18:07:00,device_33_A,South Timothy,m12,0
t492,u46,3973.12,2026-08-06 18:15:00,device_46_A,New Adrian,m5,0
t538,u13,4424.39,2026-08-06 18:51:00,device_13_A,East Antonio,m15,0
t502,u8,4030.91,2026-08-06 18:52:00,device_new_5222,Williamside,m20,0
t774,u54,3367.13,2026-08-06 18:56:00,device_54_A,Cookshire,m20,0
t339,u32,1379.35,2026-08-06 19:13:00,device_32_A,New Jade,m5,0
t866,u60,1606.79,2026-08-06 20:31:00,device_60_A,North Brent,m1,0
t54,u26,4855.75,2026-08-06 21:01:00,device_26_A,Port Elizabethport,m3,0
t672,u40,1845.93,2026-08-06 21:30:00,device_40_A,Joneschester,m6,0
t288,u25,12747.4,2026-08-06 21:47:00,device_unknown_8492,New Andrewmouth,m18,1
t177,u58,1612.85,2026-08-06 21:53:00,device_58_A,North Kimberlyside,m12,0
t752,u70,5799.74,2026-08-06 22:07:00,device_70_A,Olivialand,m1,0
t989,u89,4165.32,2026-08-06 22:21:00,device_new_3879,South Robertton,m4,0
t318,u79,2382.3,2026-08-06 22:36:00,device_79_A,Johnhaven,m19,0
t208,u58,1198.68,2026-08-06 22:37:00,device_new_5876,North Kimberlyside,m11,0
t164,u20,2860.37,2026-08-06 22:46:00,device_20_A,Robertsland,m20,0
t600,u68,3897.5,2026-08-07 01:16:00,device_68_A,New Susanshire,m17,0
t693,u32,1233.85,2026-08-07 01:18:00,device_new_9770,New Jade,m6,0
t372,u73,465.32,2026-08-07 01:30:00,device_73_A,Margaretchester,m5,0
t324,u3,4339.34,2026-08-07 01:58:00,device_3_A,Markchester,m18,0
t186,u83,1588.83,2026-08-07 02:05:00,device_83_A,Patriciachester,m3,0
t680,u90,2092.32,2026-08-07 03:28:00,device_90_A,Johnsonfort,m5,0
t662,u59,1701.14,2026-08-07 04:34:00,device_unknown_7060,Michealstad,m2,1
t949,u74,26629.82,2026-08-07 06:18:00,device_unknown_1685,East Samuelshire,m13,1
t5,u15,9083.96,2026-08-07 07:06:00,device_unknown_6925,Port Stephaniestad,m8,1
t513,u75,2599.91,2026-08-07 07:47:00,device_75_A,Waltermouth,m16,0
t895,u48,3389.58,2026-08-07 07:55:00,device_48_A,Port Brittany,m16,0
t793,u55,3844.37,2026-08-07 08:03:00,device_55_A,Lake Robert,m17,0
t8,u32,1639.6,2026-08-07 08:25:00,device_32_A,New Jade,m8,0
t154,u24,2592.66,2026-08-07 08:32:00,device_24_A,Lake Richardton,m11,0
t892,u22,1226.07,2026-08-07 09:03:00,device_22_A,Aguilarton,m9,0
t403,u73,417.9,2026-08-07 09:18:00,device_new_8875,Margaretchester,m4,0
t703,u2,3814.32,2026-08-07 09:37:00,device_2_A,Michaelport,m5,0
t711,u43,600.21,2026-08-07 09:54:00,device_new_1798,South William,m17,0
t686,u38,941.53,2026-08-07 10:00:00,device_38_A,Sarahhaven,m16,0
t24,u54,4425.22,2026-08-07 10:07:00,device_54_A,West Sharonmouth,m2,0
t262,u26,3070.7,2026-08-07 10:19:00,device_26_A,Port Elizabethport,m1,0
t744,u17,2425.59,2026-08-07 10:22:00,device_17_A,Mosleytown,m19,0
t470,u58,1106.41,2026-08-07 10:27:00,device_new_2127,North Kimberlyside,m1,0
t851,u90,1909.12,2026-08-07 10:38:00,device_90_A,Johnsonfort,m5,0
t669,u24,1774.24,2026-08-07 10:40:00,device_24_A,Lake Richardton,m2,0
t101,u12,6316.45,2026-08-07 10:56:00,device_12_A,Mercadoside,m15,0
t43,u82,2389.25,2026-08-07 10:58:00,device_82_A,Mosleystad,m13,0
t93,u16,1332.37,2026-08-07 11:23:00,device_16_A,East Howard,m13,0
t486,u57,750.71,2026-08-07 12:00:00,device_57_A,East Dale,m14,0
t782,u57,726.11,2026-08-07 13:09:00,device_57_A,East Dale,m19,0
t385,u78,712.93,2026-08-07 13:26:00,device_78_A,Loganfurt,m11,0
t750,u58,1503.01,2026-08-07 13:45:00,device_58_A,North Kimberlyside,m1,0
t302,u18,3249.39,2026-08-07 13:50:00,device_18_A,Davidview,m16,0
t91,u3,3653.1,2026-08-07 14:18:00,device_3_A,Lake Michael,m6,0
t605,u33,686.5,2026-08-07 15:30:00,device_33_A,South Timothy,m4,0
t852,u75,4516.3,2026-08-07 17:37:00,device_75_A,Waltermouth,m9,0
t405,u98,4305.81,2026-08-07 17:40:00,device_98_A,Melaniemouth,m14,0
t3,u35,11857.94,2026-08-07 17:55:00,device_35_A,Colemanhaven,m4,0
t234,u87,3179.79,2026-08-07 17:58:00,device_87_A,Lake Joyport,m8,0
t627,u32,1199.56,2026-08-07 18:02:00,device_32_A,Lake Nicholasburgh,m4,0
t222,u26,3712.75,2026-08-07 18:07:00,device_new_8834,Port Elizabethport,m14,0
t66,u25,3088.74,2026-08-07 18:42:00,device_25_A,West Jermaineview,m18,0
t585,u16,1420.56,2026-08-07 18:53:00,device_16_A,East Danielle,m2,0
t259,u60,12948.71,2026-08-07 19:16:00,device_unknown_4737,West Amandaton,m6,1
t84,u24,2271.16,2026-08-07 19:59:00,device_new_8195,Lake Richardton,m9,0
t102,u99,1569.95,2026-08-07 20:32:00,device_99_A,Bondton,m19,0
t883,u37,1821.6,2026-08-07 20:36:00,device_37_A,Johnshire,m3,0
t903,u63,7137.74,2026-08-07 20:58:00,device_63_A,West Danaville,m13,0
t587,u99,655.34,2026-08-07 21:18:00,device_99_A,Bondton,m19,0
t702,u31,2933.04,2026-08-07 21:27:00,device_31_A,Millerborough,m14,0
t81,u34,5229.12,2026-08-07 21:31:00,device_34_A,North Kyle,m20,0
t21,u53,5207.08,2026-08-07 22:05:00,device_53_A,Bethside,m8,0
t905,u96,2611.35,2026-08-08 01:10:00,device_96_A,Port Monicastad,m17,0
t844,u46,9328.19,2026-08-08 01:39:00,device_46_A,Mooreburgh,m14,1
t358,u87,10729.54,2026-08-08 01:49:00,device_unknown_9849,West Andrewview,m4,1
t245,u36,3467.51,2026-08-08 02:09:00,device_36_A,Alyssachester,m9,0
t699,u99,450.36,2026-08-08 02:14:00,device_99_A,Bondton,m7,0
t837,u32,955.07,2026-08-08 02:36:00,device_32_A,New Jade,m18,0
t541,u1,2327.59,2026-08-08 02:38:00,device_1_A,Kennedystad,m12,0
t297,u66,3086.8,2026-08-08 02:44:00,device_66_A,Donaldfort,m3,0
t157,u9,4100.37,2026-08-08 03:00:00,device_new_4178,Port Lisastad,m15,0
t938,u56,5041.82,2026-08-08 03:06:00,device_56_A,West Kristenfurt,m19,0
